,Year,Country,Child Mortality,GDP,Diff CM,Diff GDP
0,1991,AFE,164.161054739234,6.620619592975944,-1.6715067800610086,0.05205440165606934
1,1992,AFE,162.695216656375,6.554938046616302,-1.465838082858994,-0.06568154635964252
2,1993,AFE,161.379202446574,6.544832545068364,-1.3160142098010112,-0.010105501547937656
3,1994,AFE,161.983963117422,6.530046542402927,0.6047606708480089,-0.014786002665437614
4,1995,AFE,156.580561402565,6.579397361969225,-5.4034017148570115,0.04935081956629883
5,1996,AFE,153.998650706914,6.600829163580089,-2.581910695651004,0.021431801610863666
6,1997,AFE,151.260901621137,6.60367137953667,-2.737749085776983,0.0028422159565808514
7,1998,AFE,147.410842670347,6.522765460621102,-3.8500589507900145,-0.08090591891556809
8,1999,AFE,142.992355070727,6.49331912550348,-4.4184875996199935,-0.029446335117621736
9,2000,AFE,138.180234738639,6.486309754700015,-4.812120332088,-0.007009370803465309
10,2001,AFE,132.744121726178,6.445432454399095,-5.436113012460993,-0.04087730030092018
11,2002,AFE,127.135609785381,6.422755666780181,-5.608511940797001,-0.022676787618913785
12,2003,AFE,121.43551493647,6.501637931793832,-5.700094848911007,0.07888226501365114
13,2004,AFE,115.828866802817,6.697852510083592,-5.606648133652996,0.1962145782897604
14,2005,AFE,110.471932277019,6.923339928328322,-5.35693452579801,0.22548741824472973
15,2006,AFE,105.457181745716,7.041314561780589,-5.014750531302994,0.11797463345226689
16,2007,AFE,100.411263900067,7.132361920254885,-5.045917845649001,0.09104735847429613
17,2008,AFE,95.3811815990238,7.196594713081301,-5.030082301043194,0.0642327928264157
18,2009,AFE,90.7111291854921,7.2139045925994205,-4.670052413531707,0.017309879518119686
19,2010,AFE,86.4163803141884,7.268494324503869,-4.294748871303696,0.05458973190444816
20,2011,AFE,82.4915063909405,7.358887891620416,-3.924873923247901,0.09039356711654722
21,2012,AFE,78.7877273029938,7.425619718015253,-3.7037790879466996,0.06673182639483688
22,2013,AFE,75.4426897327386,7.4445889724104095,-3.345037570255201,0.01896925439515673
23,2014,AFE,72.4923836880967,7.433023981926097,-2.9503060446419056,-0.011564990484312254
24,2015,AFE,69.8691858575132,7.360548276148735,-2.623197830583493,-0.07247570577736262
25,2016,AFE,67.3639290496706,7.288718383791448,-2.505256807842599,-0.07182989235728687
26,2017,AFE,65.0910528384151,7.28013254343323,-2.2728762112555074,-0.008585840358217744
27,2018,AFE,62.8571893618424,7.289796401800093,-2.2338634765726937,0.009663858366862677
28,2019,AFE,60.8559168091663,7.31757141449548,-2.001272552676099,0.02777501269538707
29,2020,AFE,59.0873088673173,7.241720200243856,-1.7686079418490053,-0.07585121425162367
30,2021,AFE,57.2847270993243,7.289469891005491,-1.8025817679929972,0.047749690761635044
31,1991,AFW,196.252780583923,6.285862156969942,-1.6103362644849994,-0.025638065191072812
32,1992,AFW,194.790096139107,6.305675473654145,-1.4626844448160057,0.019813316684203386
33,1993,AFW,193.237227052167,6.147724530445752,-1.5528690869400066,-0.15795094320839276
34,1994,AFW,191.381598817992,6.0227525504036805,-1.8556282341749863,-0.12497198004207188
35,1995,AFW,189.017342688311,6.002376477685818,-2.364256129680996,-0.02037607271786257
36,1996,AFW,186.251978524658,6.048388223671434,-2.765364163653004,0.046011745985616415
37,1997,AFW,182.656794500028,6.134831276011043,-3.5951840246299867,0.08644305233960825
38,1998,AFW,178.628626755788,6.130422551345561,-4.028167744240022,-0.004408724665482033
39,1999,AFW,174.080193051913,6.135557845147297,-4.548433703874991,0.005135293801736829
40,2000,AFW,169.207126206289,6.113753951320134,-4.87306684562401,-0.021803893827163634
41,2001,AFW,164.127400505313,6.161708572780113,-5.079725700975985,0.04795462145997931
42,2002,AFW,158.835689865859,6.248697580225038,-5.29171063945401,0.08698900744492466
43,2003,AFW,153.420606612919,6.3599082201366395,-5.415083252940008,0.11121063991160174
44,2004,AFW,148.124428789562,6.556910299386605,-5.296177823356999,0.19700207924996516
45,2005,AFW,142.895673135497,6.723395195829779,-5.228755654064997,0.16648489644317443
46,2006,AFW,138.014558662861,6.9250814407522325,-4.881114472636,0.20168624492245346
47,2007,AFW,133.515350645495,7.077674609895183,-4.499208017365987,0.15259316914295074
48,2008,AFW,129.379974797983,7.26582737105476,-4.135375847511995,0.1881527611595768
49,2009,AFW,125.524282304507,7.311626769400118,-3.8556924934760133,0.04579939834535818
50,2010,AFW,122.054565158149,7.349322660068812,-3.4697171463579934,0.03769589066869372
51,2011,AFW,119.025138083374,7.371691544577703,-3.0294270747750005,0.022368884508891185
52,2012,AFW,116.249469226725,7.4752524699099885,-2.7756688566490055,0.10356092533228534
53,2013,AFW,113.664250457502,7.56201189273767,-2.5852187692229904,0.08675942282768112
54,2014,AFW,111.432027289881,7.648174864315046,-2.232223167621001,0.08616297157737662
55,2015,AFW,109.185388765793,7.603388695063023,-2.246638524088013,-0.04478616925202328
56,2016,AFW,106.891019087017,7.479488969344818,-2.2943696787759933,-0.12389972571820529
57,2017,AFW,104.627006239061,7.369851213180196,-2.264012847955996,-0.10963775616462179
58,2018,AFW,102.014143939794,7.380647385204496,-2.6128622992670074,0.010796172024299722
59,2019,AFW,99.5519597978545,7.416580303065739,-2.4621841419395025,0.03593291786124375
60,2020,AFW,96.92830727855,7.405106452467336,-2.6236525193044997,-0.011473850598403779
61,2021,AFW,94.3722350431445,7.442723516777,-2.5560722354054946,0.03761706430966427
62,1991,ARB,79.6190207917295,7.733414210219366,-2.4216446374950067,-0.27464509834428075
63,1992,ARB,76.7767380598465,7.71160027742101,-2.842282731883003,-0.02181393279835575
64,1993,ARB,74.3365160214649,7.657991147391238,-2.4402220383815916,-0.05360913002977252
65,1994,ARB,72.2031885489823,7.647827445615565,-2.1333274724826055,-0.010163701775672607
66,1995,ARB,70.167265400947,7.6785210005598055,-2.0359231480352946,0.030693554944240198
67,1996,ARB,68.0527617353526,7.735637273786456,-2.1145036655943983,0.057116273226650804
68,1997,ARB,66.0017315897126,7.781554506304589,-2.0510301456399986,0.045917232518132955
69,1998,ARB,63.9707750404745,7.785820687388319,-2.0309565492381054,0.00426618108372967
70,1999,ARB,62.0263499825706,7.790588468525431,-1.9444250579038993,0.0047677811371125145
71,2000,ARB,59.9994117704343,7.852169975362296,-2.026938212136301,0.061581506836864364
72,2001,ARB,57.9877168683516,7.893200168102836,-2.011694902082702,0.041030192740540095
73,2002,ARB,56.1642793938925,7.878867773621074,-1.823437474459098,-0.01433239448176149
74,2003,ARB,54.333914954617,7.9437890794810535,-1.830364439275499,0.06492130585997913
75,2004,ARB,52.6152309311117,8.09272785297115,-1.718684023505304,0.1489387734900962
76,2005,ARB,50.9579602168142,8.222655013619368,-1.6572707142974963,0.12992716064821863
77,2006,ARB,49.3703985819209,8.365267154329217,-1.587561634893298,0.14261214070984884
78,2007,ARB,47.5330441348165,8.502537881558885,-1.8373544471044028,0.1372707272296676
79,2008,ARB,45.8533635673687,8.656942302699413,-1.6796805674477966,0.15440442114052821
80,2009,ARB,44.3038400628393,8.673081308616851,-1.5495235045294038,0.016139005917438
81,2010,ARB,42.7782777951599,8.72381004457213,-1.5255622676793976,0.05072873595527838
82,2011,ARB,41.5825797867018,8.723403676850548,-1.195698008458102,-0.00040636772158109125
83,2012,ARB,41.2585255621034,8.835730987632328,-0.32405422459839883,0.11232731078177949
84,2013,ARB,40.57842919506,8.891646607111,-0.6800963670434044,0.05591561947867163
85,2014,ARB,39.6726270161151,8.902150968378796,-0.9058021789448958,0.01050436126779708
86,2015,ARB,38.7619464817831,8.836457151485623,-0.9106805343320019,-0.06569381689317311
87,2016,ARB,38.1830714590474,8.773177814618299,-0.5788750227357014,-0.06327933686732479
88,2017,ARB,36.9050681935873,8.70328154700251,-1.2780032654601001,-0.06989626761578904
89,2018,ARB,36.4049846105514,8.727460719067889,-0.5000835830358952,0.024179172065379007
90,2019,ARB,35.7255030718043,8.753962198422842,-0.6794815387471047,0.026501479354953617
91,2020,ARB,34.8094619005862,8.680663127054048,-0.9160411712180974,-0.07329907136879399
92,1991,CSS,32.902112162668,7.94283978592856,-1.1046464001874057,0.0016120512507038498
93,1992,CSS,31.9209112111373,7.983145828881823,-0.9812009515306954,0.040306042953263344
94,1993,CSS,31.0278861488579,7.9997224322243285,-0.8930250622794027,0.016576603342505436
95,1994,CSS,30.2415689478513,8.012455625552281,-0.7863172010066002,0.012733193327952641
96,1995,CSS,29.419173019173,8.125651690157706,-0.8223959286782971,0.1131960646054253
97,1996,CSS,28.807175514351,8.20866417133742,-0.6119975048219999,0.08301248117971305
98,1997,CSS,28.0681439598173,8.252235843091734,-0.7390315545337032,0.04357167175431442
99,1998,CSS,27.4584888658203,8.29955506120572,-0.6096550939969987,0.04731921811398543
100,1999,CSS,26.9160825522069,8.417873310059084,-0.5424063136134016,0.11831824885336495
101,2000,CSS,26.4652724389961,8.491174604113173,-0.45081011321079956,0.07330129405408847
102,2001,CSS,25.8972689797321,8.515736074253972,-0.5680034592639984,0.024561470140799457
103,2002,CSS,25.3983690546675,8.55653942743214,-0.4988999250645989,0.04080335317816797
104,2003,CSS,24.8828001813857,8.642005973281595,-0.5155688732818007,0.08546654584945479
105,2004,CSS,24.3338030190665,8.747895224876407,-0.5489971623191998,0.105889251594812
106,2005,CSS,23.8655843267304,8.83256918199064,-0.4682186923361016,0.08467395711423364
107,2006,CSS,23.4499761444594,8.933898448606275,-0.4156081822710007,0.10132926661563424
108,2007,CSS,23.0973829269917,9.024218429990881,-0.35259321746769956,0.0903199813846065
109,2008,CSS,22.5635155145163,9.127106510587634,-0.5338674124753986,0.10288808059675247
110,2009,CSS,22.0681956262692,9.088585212205285,-0.49531988824709927,-0.0385212983823493
111,2010,CSS,21.7223845461469,9.101956561698861,-0.3458110801223029,0.013371349493576545
112,2011,CSS,21.1925920783143,9.085815595399207,-0.5297924678325998,-0.01614096629965367
113,2012,CSS,20.6578929450584,9.180921984015777,-0.5346991332558986,0.0951063886165695
114,2013,CSS,20.2400396723032,9.227036572860884,-0.4178532727551989,0.04611458884510711
115,2014,CSS,19.7236781526509,9.237560029727314,-0.5163615196522997,0.010523456866430081
116,2015,CSS,19.2026972577729,9.229476655490627,-0.5209808948780008,-0.008083374236687035
117,2016,CSS,18.7787853133339,9.16692892377253,-0.42391194443900204,-0.06254773171809624
118,2017,CSS,18.3373290191121,9.162655992333425,-0.44145629422179766,-0.004272931439105676
119,2018,CSS,17.8781033123786,9.185132925891956,-0.45922570673350194,0.022476933558531087
120,2019,CSS,17.9718698247641,9.222212604291466,0.09376651238549982,0.03707967839950932
121,2020,CSS,16.9809709558246,9.096040704877241,-0.9908988689394995,-0.12617189941422424
122,2021,CSS,16.5282037380229,9.178145047163618,-0.45276721780169993,0.08210434228637631
123,1993,CEB,17.5971104563141,7.800488064459768,-0.5578246767008004,0.08630946355376956
124,1994,CEB,17.0388215167672,7.907546873937968,-0.5582889395468982,0.10705880947820035
125,1995,CEB,16.3545589801,8.06328084733601,-0.6842625366672017,0.15573397339804185
126,1996,CEB,15.5339703800213,8.196822917417114,-0.8205886000786986,0.13354207008110386
127,1997,CEB,14.7676459708756,8.250020163833724,-0.7663244091456995,0.05319724641661061
128,1998,CEB,13.9215722262169,8.260502512015167,-0.8460737446586997,0.010482348181442447
129,1999,CEB,13.072457739522,8.272361463214194,-0.8491144866949014,0.011858951199027246
130,2000,CEB,12.2923528172982,8.316024299966365,-0.7801049222237992,0.043662836752170975
131,2001,CEB,11.6754782764343,8.33558543248906,-0.6168745408639005,0.019561132522694535
132,2002,CEB,11.2679768524288,8.396076747279256,-0.40750142400549905,0.06049131479019643
